gen	fitness
0	12.5151
1	11.8782
2	12.0359
3	10.812
4	10.176
5	9.46841
6	9.84616
7	9.30818
8	8.66386
9	8.55878
10	8.28459
11	8.06377
12	7.82602
13	7.55353
14	7.33238
15	7.30969
16	7.12663
17	6.85394
18	6.68769
19	6.68769
20	6.29292
21	6.17532
22	6.12958
23	6.09705
24	5.89029
25	5.87989
26	5.84568
27	5.73728
28	5.70307
29	5.66703
30	5.59883
31	5.56659
32	5.52858
33	5.34008
34	5.34008
35	5.26983
36	5.26983
37	5.26047
38	5.19022
39	5.19022
40	5.19022
41	5.12113
42	5.07221
43	5.07221
44	5.05758
45	5.02732
46	5.02732
47	5.02091
48	5.02091
49	5.02091
50	5.01775
51	5.01775
52	4.9419
53	4.9419
54	4.9419
55	4.93549
56	4.93549
57	4.93549
58	4.93549
59	4.93549
60	4.93549
61	4.93549
62	4.93549
63	4.93549
64	4.93549
65	4.93549
66	4.93549
67	4.93549
68	4.93549
69	4.93549
70	4.93549
71	4.93549
72	4.93549
73	4.93549
74	4.93549
75	4.93549
76	4.93549
77	4.93549
78	4.93549
79	4.93549
80	4.93549
81	4.93549
82	4.93549
83	4.93549
84	4.93549
85	4.93549
86	4.93549
87	4.93549
88	4.93549
89	4.93549
90	4.93549
91	4.93549
92	4.93549
93	4.93549
94	4.93549
95	4.93549
96	4.93549
97	4.93549
98	4.93549
99	4.93549
100	4.93549
