gen	fitness
0	11.9222
1	11.5454
2	11.2385
3	11.4688
4	10.4653
5	10.1982
6	9.33433
7	8.93208
8	8.60453
9	8.49345
10	8.19044
11	7.99065
12	7.83481
13	7.50193
14	7.50193
15	7.31546
16	7.11006
17	6.60781
18	6.44774
19	6.44774
20	6.38219
21	6.20304
22	6.15915
23	6.10307
24	5.89386
25	5.7903
26	5.76228
27	5.76228
28	5.63776
29	5.54067
30	5.44418
31	5.31966
32	5.31966
33	5.26358
34	5.09806
35	5.09806
36	5.04198
37	4.81936
38	4.76328
39	4.75661
40	4.75106
41	4.71226
42	4.70071
43	4.70071
44	4.67743
45	4.67743
46	4.67743
47	4.67743
48	4.67743
49	4.67743
50	4.67743
51	4.67743
52	4.67743
53	4.67743
54	4.67743
55	4.67743
56	4.67743
57	4.67743
58	4.67743
59	4.67743
60	4.67743
61	4.67743
62	4.67743
63	4.67743
64	4.67743
65	4.67743
66	4.67743
67	4.67743
68	4.67743
69	4.67743
70	4.67743
71	4.67743
72	4.67743
73	4.67743
74	4.67743
75	4.67743
76	4.67743
77	4.67743
78	4.67743
79	4.67743
80	4.67743
81	4.67743
82	4.67743
83	4.67743
84	4.67743
85	4.67743
86	4.67743
87	4.67743
88	4.67743
89	4.67743
90	4.67743
91	4.67743
92	4.67743
93	4.67743
94	4.67743
95	4.67743
96	4.67743
97	4.67743
98	4.67743
99	4.67743
100	4.67743
