gen	fitness
0	12.7883
1	11.6761
2	10.6995
3	10.7831
4	10.4707
5	9.96978
6	8.92248
7	8.6827
8	8.62265
9	8.13645
10	8.13645
11	7.84975
12	7.70535
13	7.39316
14	7.2145
15	7.0829
16	6.90424
17	6.90424
18	6.45432
19	6.3458
20	6.31634
21	6.13646
22	6.03012
23	5.97553
24	5.84354
25	5.67207
26	5.64327
27	5.61382
28	5.57809
29	5.53396
30	5.46646
31	5.29964
32	5.19331
33	5.19331
34	5.16241
35	5.06843
36	5.06843
37	5.06386
38	4.99729
39	4.9851
40	4.9851
41	4.98054
42	4.96968
43	4.95293
44	4.95293
45	4.92266
46	4.92266
47	4.92266
48	4.91313
49	4.91313
50	4.89857
51	4.89857
52	4.89857
53	4.88347
54	4.88347
55	4.87966
56	4.87966
57	4.87966
58	4.87966
59	4.87966
60	4.87966
61	4.87966
62	4.87966
63	4.84692
64	4.84692
65	4.84692
66	4.84692
67	4.84692
68	4.84692
69	4.84692
70	4.84692
71	4.84692
72	4.84692
73	4.84692
74	4.84692
75	4.84692
76	4.84692
77	4.84692
78	4.84692
79	4.84692
80	4.84692
81	4.84692
82	4.84692
83	4.84692
84	4.84692
85	4.84692
86	4.84692
87	4.84692
88	4.84692
89	4.84692
90	4.84692
91	4.84692
92	4.84692
93	4.84692
94	4.84692
95	4.84692
96	4.84692
97	4.84692
98	4.84692
99	4.84692
100	4.84692
