step	HT	err
232	0.0403826	0.00750083
233	-0.162652	0.00151466
234	0.00923323	0.00909283
235	0.00487531	0.00684802
236	0.00487531	0.00684802
237	-0.27847	0.00112908
238	-0.27847	0.00112908
239	-0.0508813	0.00197658
240	-0.0508813	0.00197658
241	-0.0508813	0.00197658
242	-0.218216	0.00311763
243	-0.218216	0.00311763
244	0.0880642	0.00256758
245	0.0759855	0.00199536
246	-0.311441	0.00139367
247	-0.105609	0.00523315
248	-0.247432	0.00251621
249	-0.242851	0.00286828
250	1.28427	0.0223726
251	0.447421	0.0121692
252	-0.159057	0.00472749
253	-0.159057	0.00472749
254	-0.159057	0.00472749
255	0.635311	0.0157857
256	0.635311	0.0157857
257	0.790115	0.0131583
258	0.0634835	0.00798702
259	-0.4212	0.00115565
260	0.218546	0.0078607
261	0.218546	0.0078607
262	-0.0827268	0.00195067
263	-0.0707789	0.00204373
264	-0.222463	0.00129712
265	-0.222463	0.00129712
266	-0.267388	0.00391172
267	-0.147717	0.00517116
268	0.729355	0.0158304
269	-0.195578	0.00429332
270	-0.243123	0.0028765
271	0.154922	0.00276566
272	-0.0592348	0.00193777
273	-0.0592348	0.00193777
274	-0.0435283	0.00665745
275	-0.259798	0.00329076
276	-0.259798	0.00329076
277	0.0378537	0.00602024
278	0.0378537	0.00602024
279	0.0378537	0.00602024
280	-0.241016	0.00315466
281	0.0408534	0.00196306
282	-0.0818073	0.00191687
283	1.3174	0.00880026
284	1.3174	0.00880026
285	1.3174	0.00880026
286	1.3174	0.00880026
287	-0.205479	0.00150237
288	0.102863	0.00825949
289	0.00745601	0.00758402
290	0.0355267	0.0080391
291	1.55881	0.02642
292	-0.0552383	0.00642965
293	-0.0552383	0.00642965
294	-0.202888	0.00148117
295	-0.202888	0.00148117
296	-0.14136	0.00473544
297	0.66083	0.0135057
298	0.66083	0.0135057
299	-0.0311817	0.00534945
300	-0.196729	0.00372041
301	0.350952	0.00378698
302	0.765008	0.0115568
303	1.17185	0.0158134
304	-0.244902	0.00311452
305	-0.244902	0.00311452
306	-0.330978	0.00159794
307	-0.330978	0.00159794
308	-0.330978	0.00159794
309	0.379167	0.0123476
310	0.379167	0.0123476
311	-0.287134	0.0025506
312	-0.287134	0.0025506
313	-0.287134	0.0025506
314	-0.259663	0.00141293
315	-0.254363	0.00257981
316	-0.324208	0.00201658
317	-0.324208	0.00201658
318	-0.324208	0.00201658
319	-0.410466	0.00163031
320	-0.410466	0.00163031
321	-0.410466	0.00163031
322	-0.410466	0.00163031
323	-0.365472	0.00164028
324	-0.365472	0.00164028
325	-0.33353	0.00125447
326	-0.33353	0.00125447
327	-0.438271	0.000945084
328	0.212643	0.0085189
329	-0.161552	0.00425648
330	-0.00525581	0.00718003
331	-0.00525581	0.00718003
332	-0.00525581	0.00718003
333	0.367253	0.0107013
334	0.20406	0.0067573
335	0.20406	0.0067573
336	0.669639	0.015595
337	-0.243037	0.00258259
338	-0.210701	0.00369976
339	-0.238026	0.00320294
340	0.0966027	0.00811012
341	0.142399	0.0101211
342	-0.00448134	0.00661355
343	0.40814	0.0142069
344	-0.24609	0.00199247
345	-0.24609	0.00199247
346	0.412148	0.0107543
347	-0.00887489	0.00745979
348	-0.00887489	0.00745979
349	-0.252038	0.00249125
350	-0.309647	0.00157849
351	-0.309647	0.00157849
352	-0.170621	0.00474882
353	0.921864	0.0154674
354	0.921864	0.0154674
355	0.921864	0.0154674
356	-0.330385	0.00163987
357	-0.209434	0.00407401
358	-0.209434	0.00407401
359	-0.234068	0.0032497
360	-0.234068	0.0032497
361	-0.0616188	0.00174498
362	-0.238868	0.00270677
363	-0.238868	0.00270677
364	0.161792	0.011367
365	0.161792	0.011367
366	-0.151287	0.0017594
367	-0.112244	0.00195263
368	-0.242123	0.00220151
369	-0.165787	0.00179957
370	-0.308202	0.00253702
371	0.0482615	0.00734317
372	0.0482615	0.00734317
373	-0.298429	0.0016947
374	-0.235438	0.00320831
375	-0.235438	0.00320831
376	-0.168343	0.00154803
377	-0.168343	0.00154803
378	-0.18379	0.00172788
379	-0.18379	0.00172788
380	-0.0985841	0.00201536
381	-0.0985841	0.00201536
382	-0.0886834	0.00607982
383	-0.230308	0.00177524
384	-0.197303	0.00440663
385	0.0901207	0.009258
386	0.118342	0.0104356
387	0.118342	0.0104356
388	0.601171	0.0148932
389	0.58459	0.0147378
390	0.58459	0.0147378
391	-0.0224057	0.0068631
392	0.920246	0.0181999
393	0.450334	0.0120064
394	1.03578	0.0200048
395	1.07976	0.0204777
396	3.54722	0.0411633
397	3.54722	0.0411633
398	1.42226	0.0203289
399	1.42226	0.0203289
400	0.101619	0.00771128
401	0.101619	0.00771128
402	-0.43097	0.0012223
403	-0.155687	0.00173125
404	-0.155687	0.00173125
405	-0.184621	0.00417665
406	-0.184621	0.00417665
407	-0.216547	0.00125324
408	0.731632	0.00676152
409	0.731632	0.00676152
410	0.731632	0.00676152
411	-0.0817348	0.00193425
412	-0.0817348	0.00193425
413	-0.0817348	0.00193425
414	-0.0817348	0.00193425
415	-0.256963	0.00265214
416	-0.152295	0.00479992
417	-0.152295	0.00479992
418	-0.379593	0.00105239
419	-0.379593	0.00105239
420	-0.379593	0.00105239
421	-0.379593	0.00105239
422	-0.379593	0.00105239
423	-0.0486354	0.00160235
424	0.0838002	0.00401086
425	-0.239365	0.00392598
426	-0.310042	0.0022856
427	-0.24115	0.00325687
428	-0.24115	0.00325687
429	-0.24115	0.00325687
430	0.477789	0.0130495
431	-0.173517	0.0042419
432	-0.228522	0.0033455
433	0.0137734	0.00763416
434	0.0137734	0.00763416
435	0.0137734	0.00763416
436	0.054585	0.00830369
437	0.392907	0.0122683
438	0.0439466	0.00827633
439	-0.237956	0.00347962
440	0.267182	0.0115931
441	0.267182	0.0115931
442	0.533908	0.0137915
443	-0.135191	0.00503518
444	-0.135191	0.00503518
445	-0.067714	0.00189581
446	0.511162	0.00479167
447	0.511162	0.00479167
448	0.511162	0.00479167
449	-0.232767	0.00147864
450	-0.248867	0.00231342
451	0.472353	0.0034443
452	-0.254742	0.0021939
453	-0.120524	0.00175717
454	-0.120524	0.00175717
455	-0.120524	0.00175717
456	-0.120524	0.00175717
457	-0.126099	0.00545119
458	-0.126099	0.00545119
459	-0.390641	0.00091341
460	-0.390641	0.00091341
461	-0.390641	0.00091341
462	-0.215071	0.00152573
463	-0.281502	0.0031866
464	-0.281502	0.0031866
465	-0.281502	0.0031866
466	-0.256817	0.00292328
467	-0.00235077	0.00659721
468	-0.00235077	0.00659721
469	-0.00235077	0.00659721
470	-0.270714	0.00249128
471	-0.262179	0.00230682
472	-0.0470908	0.00205803
473	-0.217177	0.00181713
474	0.237745	0.00421273
475	-0.411349	0.000921934
476	-0.355303	0.00100595
477	-0.0228891	0.00657279
478	-0.04409	0.00736825
479	-0.04409	0.00736825
480	0.650069	0.0130196
481	0.650069	0.0130196
482	0.650069	0.0130196
483	-0.191655	0.00385899
484	-0.161206	0.00179544
485	0.305641	0.0105576
486	0.305641	0.0105576
487	0.305641	0.0105576
488	-0.264546	0.00292825
489	0.314014	0.00914557
490	-0.257083	0.00191587
491	-0.257083	0.00191587
492	-0.193927	0.00166246
493	-0.193927	0.00166246
494	0.40441	0.00320414
495	-0.101047	0.0019043
496	0.505349	0.00324901
497	-0.20204	0.0020784
498	-0.231033	0.00116992
499	-0.231033	0.00116992
500	-0.240662	0.00301088
501	-0.0184374	0.00192336
502	0.502316	0.00295948
503	0.502316	0.00295948
504	0.155588	0.00242612
505	0.49179	0.00350519
506	0.49179	0.00350519
507	0.49179	0.00350519
508	-0.283842	0.00147273
509	-0.246243	0.00125408
510	-0.246243	0.00125408
511	-0.0563233	0.00179459
512	-0.245433	0.0029616
513	-0.245433	0.0029616
514	-0.157033	0.00444129
515	0.05244	0.00187742
516	0.18243	0.00310969
517	0.18243	0.00310969
518	0.771725	0.00466362
519	0.771725	0.00466362
520	1.13727	0.00525916
521	0.471221	0.00323434
522	-0.24905	0.00188064
523	-0.238422	0.00151273
524	0.768218	0.00378251
525	-0.078161	0.00213138
526	-0.078161	0.00213138
527	-0.158038	0.00179177
528	-0.354706	0.00147967
529	0.125324	0.00701572
530	-0.104373	0.00612006
531	-0.104373	0.00612006
532	0.24035	0.00973571
533	0.24035	0.00973571
534	-0.210964	0.00172219
535	0.165016	0.0101961
536	-0.212049	0.00166674
537	-0.172623	0.00170684
538	0.142672	0.0107321
539	-0.238752	0.00190414
540	-0.238752	0.00190414
541	-0.238752	0.00190414
542	-0.204032	0.00419202
543	-0.157729	0.00490966
544	-0.157729	0.00490966
545	-0.231724	0.00182188
546	-0.197072	0.00483266
547	-0.197072	0.00483266
548	-0.18135	0.00161595
549	-0.248782	0.00204214
550	-0.2625	0.00264947
551	0.301759	0.00294555
552	-0.146044	0.00163625
553	-0.0441733	0.00221976
554	-0.0801187	0.0057034
555	0.105975	0.0022757
556	0.188632	0.00285652
557	-0.254148	0.00288858
558	-0.389474	0.000790077
559	0.683902	0.00597276
560	0.683902	0.00597276
561	-0.339698	0.00242572
562	-0.339698	0.00242572
563	-0.169056	0.00517939
564	-0.24198	0.00316574
565	-0.203356	0.00187273
566	-0.205472	0.00144077
567	-0.022345	0.00198786
568	-0.022345	0.00198786
569	-0.415255	0.000714519
570	0.729074	0.00903798
571	0.729074	0.00903798
572	0.154573	0.00613878
573	0.312221	0.0101255
574	-0.312178	0.00167897
575	-0.315903	0.00119229
576	0.048008	0.00214552
577	-0.239045	0.00278707
578	-0.24851	0.00213157
579	-0.24851	0.00213157
580	0.470742	0.0127707
581	0.411441	0.0119707
582	0.411441	0.0119707
583	-0.199497	0.00429959
584	-0.245866	0.00178235
585	-0.250663	0.00127724
586	-0.0562779	0.00320349
587	-0.0562779	0.00320349
588	-0.0562779	0.00320349
589	0.271487	0.00206871
590	0.271487	0.00206871
591	0.271487	0.00206871
592	0.271487	0.00206871
593	0.271487	0.00206871
594	-0.416553	0.00114489
595	-0.204076	0.00431676
596	-0.0278	0.00231043
597	-0.0278	0.00231043
598	0.638639	0.0106423
599	0.638639	0.0106423
600	0.638639	0.0106423
601	0.638639	0.0106423
602	0.638639	0.0106423
603	0.638639	0.0106423
604	-0.432987	0.000694543
605	-0.374809	0.00118581
606	-0.193644	0.00419115
607	-0.341706	0.00236174
608	-0.341706	0.00236174
609	-0.226639	0.0039192
610	0.516924	0.0149671
611	0.516924	0.0149671
612	-0.187203	0.00169052
613	-0.0255653	0.00634558
614	-0.019049	0.00627634
615	-0.216398	0.00352462
616	-0.216398	0.00352462
617	-0.0905631	0.00185156
618	-0.0905631	0.00185156
619	0.589702	0.00333315
620	0.589702	0.00333315
