step	mu	sigma
2708	0.759698	0.670013
2709	0.759698	0.670013
2710	0.759698	0.670013
2711	0.759698	0.670013
2712	0.759698	0.670013
2713	1.14575	0.401068
2714	1.14575	0.401068
2715	1.14575	0.401068
2716	1.14575	0.401068
2717	1.14575	0.401068
2718	0.885481	0.579771
2719	1.30983	0.517444
2720	1.30983	0.517444
2721	1.30983	0.517444
2722	1.28249	0.544225
2723	1.22019	0.66617
2724	1.04017	1.009
2725	0.597838	1.26368
2726	0.719715	1.47706
2727	0.719715	1.47706
2728	0.719715	1.47706
2729	0.815761	1.01063
2730	0.683171	1.20472
2731	0.683171	1.20472
2732	0.683171	1.20472
2733	0.904517	1.4234
2734	0.758114	1.45945
2735	0.357988	1.60504
2736	0.357988	1.60504
2737	0.531145	1.27187
2738	0.531145	1.27187
2739	0.559826	1.44086
2740	0.17193	1.07602
2741	0.559002	1.06777
2742	0.454337	1.22504
2743	0.454337	1.22504
2744	0.462055	1.12274
2745	0.0342404	0.675457
2746	0.0268573	1.08732
2747	0.0268573	1.08732
2748	0.148958	1.16786
2749	0.148958	1.16786
2750	0.0160544	1.48731
2751	0.0160544	1.48731
2752	0.277211	1.08441
2753	0.175218	1.06003
2754	0.0426883	0.851762
2755	0.0259424	0.933067
2756	0.348993	1.14662
2757	0.348993	1.14662
2758	0.348993	1.14662
2759	0.366639	1.32169
2760	0.366639	1.32169
2761	0.824765	1.26883
2762	0.824765	1.26883
2763	0.824765	1.26883
2764	0.824765	1.26883
2765	0.465353	1.12782
2766	0.659262	0.971972
2767	0.659262	0.971972
2768	0.659262	0.971972
2769	0.659262	0.971972
2770	0.346893	0.750241
2771	0.184922	1.08933
2772	0.155509	0.850496
2773	0.291192	0.819867
2774	0.13085	1.17927
2775	0.152741	0.879529
2776	0.152741	0.879529
2777	0.134458	1.06041
2778	0.350354	0.853536
2779	0.0189531	1.09529
2780	0.430632	0.60132
2781	0.142778	1.02543
2782	0.512922	1.19505
2783	0.0977477	1.24847
2784	0.170646	1.38474
2785	0.170646	1.38474
2786	0.170646	1.38474
2787	0.526131	1.29044
2788	0.218642	1.28452
2789	0.592637	1.12213
2790	0.42129	1.28583
2791	0.42129	1.28583
2792	0.730873	0.873686
2793	0.730873	0.873686
2794	0.725421	0.786263
2795	0.754967	0.599587
2796	0.754967	0.599587
2797	0.432211	0.560566
2798	0.50713	0.525363
2799	0.50713	0.525363
2800	0.50713	0.525363
2801	0.741695	0.599888
2802	0.741695	0.599888
2803	1.00993	0.79775
2804	1.00993	0.79775
2805	1.22402	0.711385
2806	1.22402	0.711385
2807	1.22402	0.711385
2808	1.22402	0.711385
2809	1.18484	0.802326
2810	0.990388	0.952357
2811	0.613534	0.773785
2812	0.613534	0.773785
2813	0.826417	0.789297
2814	0.826417	0.789297
2815	0.545826	0.947829
2816	0.644694	1.17214
2817	0.644694	1.17214
2818	0.461974	1.30201
2819	0.932157	0.974945
2820	0.932157	0.974945
2821	0.932157	0.974945
2822	0.507006	1.12087
2823	0.507006	1.12087
2824	0.507006	1.12087
2825	0.507006	1.12087
2826	0.134281	1.0277
2827	0.134281	1.0277
2828	0.28821	0.912265
2829	0.0837661	0.851252
2830	0.0837661	0.851252
2831	0.0607008	0.673519
2832	0.114056	1.14749
2833	0.114056	1.14749
2834	0.557499	0.694369
2835	0.532415	1.12605
2836	0.316921	1.06508
2837	0.430477	0.572746
2838	0.19379	0.612918
2839	0.19379	0.612918
2840	0.137858	0.628768
2841	0.137858	0.628768
2842	0.0285057	0.614473
2843	0.0285057	0.614473
2844	0.331519	0.587036
2845	0.366447	0.986665
2846	0.366447	0.986665
2847	0.366447	0.986665
2848	0.0471902	0.806484
2849	0.314269	0.660362
2850	0.00136627	1.11743
2851	0.0370456	0.852394
2852	0.0415068	0.631387
2853	0.130964	0.65591
2854	0.265813	0.662789
2855	0.118813	0.894795
2856	0.34514	0.451783
2857	0.34514	0.451783
2858	0.34514	0.451783
2859	0.233883	0.849664
2860	0.689991	0.984045
2861	0.236497	1.16229
2862	0.236497	1.16229
2863	0.399576	1.47269
2864	0.399576	1.47269
2865	0.501204	1.45446
2866	0.501204	1.45446
2867	0.229868	1.28735
2868	0.229868	1.28735
2869	0.229868	1.28735
2870	0.693983	1.03185
2871	0.693983	1.03185
2872	0.426292	1.01986
2873	0.00613094	1.42312
2874	0.00613094	1.42312
2875	0.00613094	1.42312
2876	0.00613094	1.42312
2877	0.138605	1.00694
2878	0.0101009	1.05027
2879	0.0101009	1.05027
2880	0.364068	1.08458
2881	0.686745	0.645465
2882	0.3503	1.09534
2883	0.226106	1.09999
2884	0.0266932	1.00279
2885	0.0266932	1.00279
2886	0.0405354	1.25707
2887	0.0405354	1.25707
2888	0.314389	0.976506
2889	0.314389	0.976506
2890	0.704012	1.22896
2891	0.704012	1.22896
2892	0.704012	1.22896
2893	0.704012	1.22896
2894	0.704012	1.22896
2895	0.704012	1.22896
2896	0.217159	1.57805
2897	0.11432	1.53284
2898	0.478896	1.42523
2899	0.0131214	1.63298
2900	0.0131214	1.63298
2901	0.0131214	1.63298
2902	0.0131214	1.63298
2903	0.0811548	1.60457
2904	0.309802	1.39041
2905	0.332347	1.55038
2906	0.825759	1.18062
2907	0.421452	1.43397
2908	0.333593	1.49427
2909	0.333593	1.49427
2910	0.498756	1.08599
2911	0.525672	0.634264
2912	0.552525	0.469658
2913	0.311195	0.466309
2914	0.287708	0.671491
2915	0.253504	0.906287
2916	0.228102	0.864907
2917	0.617952	0.645012
2918	0.617952	0.645012
2919	0.617952	0.645012
2920	0.617952	0.645012
2921	0.570414	0.356146
2922	0.570414	0.356146
2923	0.174003	0.61371
2924	0.663849	0.969074
2925	0.257101	1.22611
2926	0.466836	1.02114
2927	0.849355	0.597771
2928	0.492465	0.500216
2929	0.492465	0.500216
2930	0.492465	0.500216
2931	0.492465	0.500216
2932	0.492465	0.500216
2933	0.576847	0.836285
2934	0.576847	0.836285
2935	0.582431	0.726149
2936	0.952404	0.970363
2937	0.644209	1.1946
2938	0.173424	1.3554
2939	0.651697	0.890936
2940	0.581184	1.28389
2941	0.581184	1.28389
2942	0.581184	1.28389
2943	0.581184	1.28389
2944	0.581184	1.28389
2945	0.581184	1.28389
2946	0.581184	1.28389
2947	0.581184	1.28389
2948	0.223838	1.25874
2949	0.223838	1.25874
2950	0.223838	1.25874
2951	0.045926	1.22129
2952	0.045926	1.22129
2953	0.0082698	0.843064
2954	0.0082698	0.843064
2955	0.0082698	0.843064
2956	0.405893	1.02517
2957	0.0551251	0.757224
2958	0.118024	0.541921
2959	0.138076	0.886622
2960	0.507176	1.27572
2961	0.507176	1.27572
2962	0.210092	0.976839
2963	0.210092	0.976839
2964	0.458229	1.01349
2965	0.43461	1.38668
2966	0.388842	1.34552
2967	0.595268	1.17945
2968	0.595268	1.17945
2969	0.595268	1.17945
2970	0.923837	0.719883
2971	0.923837	0.719883
2972	0.608166	0.512022
2973	0.608166	0.512022
2974	0.988185	0.884022
2975	1.26052	0.555866
2976	1.26052	0.555866
2977	1.26052	0.555866
2978	1.26052	0.555866
2979	0.960532	0.962388
2980	0.771482	1.30272
2981	0.771482	1.30272
2982	0.771482	1.30272
2983	0.486927	1.27834
2984	0.486927	1.27834
2985	0.812022	0.792873
2986	0.812022	0.792873
2987	0.812022	0.792873
2988	0.626792	0.575796
2989	0.626792	0.575796
2990	0.626792	0.575796
2991	0.626792	0.575796
2992	0.626792	0.575796
2993	0.270961	0.458049
2994	0.270961	0.458049
2995	0.439685	0.750605
2996	0.439685	0.750605
2997	0.0609401	1.06296
2998	0.367699	0.880682
2999	0.104299	1.04598
3000	0.0306141	0.587757
3001	0.413141	0.742961
3002	0.413141	0.742961
3003	0.702387	0.737291
3004	1.058	0.524309
3005	0.580384	0.832532
3006	0.580384	0.832532
3007	0.580384	0.832532
3008	0.64395	0.718897
3009	0.562175	0.598992
3010	0.242136	0.78001
3011	0.242136	0.78001
3012	0.0462253	0.643989
3013	0.0462253	0.643989
3014	0.414416	0.493752
3015	0.00300216	0.560141
3016	0.256625	0.652711
3017	0.568901	0.91309
3018	0.693411	0.740386
3019	0.262658	0.694452
3020	0.302332	0.38362
3021	0.616797	0.785951
3022	0.234835	0.761921
3023	0.234835	0.761921
3024	0.719623	0.881934
3025	0.719623	0.881934
3026	0.719623	0.881934
3027	0.719623	0.881934
3028	1.09906	0.830808
3029	0.775272	0.870012
3030	0.564355	1.24726
3031	0.106981	1.24823
3032	0.0610167	0.938852
3033	0.0610167	0.938852
3034	0.529514	0.671343
3035	0.529514	0.671343
3036	0.901842	1.01972
3037	0.701021	1.06481
3038	0.925734	0.765307
3039	0.925734	0.765307
3040	0.925734	0.765307
3041	0.925734	0.765307
3042	0.925734	0.765307
3043	0.858414	0.945785
3044	0.858414	0.945785
3045	0.874401	0.576878
3046	0.432225	0.603901
3047	0.268012	0.293239
3048	0.0321509	0.766203
3049	0.526827	0.885254
3050	0.942003	0.732646
3051	1.02839	0.528443
3052	1.02839	0.528443
3053	1.02839	0.528443
3054	1.02839	0.528443
3055	1.02839	0.528443
3056	1.02839	0.528443
3057	1.3678	0.308101
3058	1.3678	0.308101
3059	1.3678	0.308101
3060	1.3678	0.308101
3061	0.881884	0.253758
3062	0.881884	0.253758
3063	0.793398	0.483499
3064	0.530234	0.560001
3065	0.202589	0.792699
3066	0.0183285	0.664965
3067	0.0183285	0.664965
3068	0.450768	1.10342
3069	0.450768	1.10342
3070	0.450768	1.10342
3071	0.450768	1.10342
3072	0.930496	0.965679
3073	1.08181	1.04344
3074	1.08181	1.04344
3075	1.08181	1.04344
3076	1.08181	1.04344
3077	1.08181	1.04344
3078	1.08181	1.04344
3079	1.08181	1.04344
3080	1.08181	1.04344
3081	0.964979	1.08937
3082	0.964979	1.08937
3083	1.13321	0.839438
3084	0.779448	0.799452
3085	1.17383	0.317833
3086	1.17383	0.317833
3087	1.08882	0.424076
3088	1.14105	0.67724
3089	1.14105	0.67724
3090	1.39737	0.320862
3091	1.39737	0.320862
3092	1.39737	0.320862
3093	1.39737	0.320862
3094	1.11342	0.637367
3095	0.77077	1.03308
3096	0.552158	1.07873
3097	0.345791	1.05089
3098	0.308347	0.806066
3099	0.308347	0.806066
3100	0.475586	0.593453
3101	0.964807	0.491745
3102	0.964807	0.491745
3103	0.964807	0.491745
3104	0.964807	0.491745
3105	0.819106	0.935765
3106	0.819106	0.935765
3107	0.819106	0.935765
3108	0.838163	1.30592
3109	0.390185	0.910713
3110	0.141487	1.18174
3111	0.141487	1.18174
3112	0.141487	1.18174
3113	0.141487	1.18174
3114	0.316573	1.19657
3115	0.316573	1.19657
3116	0.651096	0.841579
3117	0.171728	0.856555
3118	0.247244	0.973783
3119	0.181403	0.895847
3120	0.404187	0.628647
3121	0.381678	0.375337
3122	0.381678	0.375337
3123	0.493858	0.345412
3124	0.493858	0.345412
3125	0.249739	0.71341
3126	0.249739	0.71341
3127	0.284204	1.16234
3128	0.00582897	1.10012
3129	0.133343	1.0969
3130	0.318027	0.664561
3131	0.365456	0.448063
3132	0.365456	0.448063
3133	0.343099	0.611379
3134	0.343099	0.611379
3135	0.343099	0.611379
3136	0.343099	0.611379
3137	0.253243	0.394989
3138	0.253243	0.394989
3139	0.583461	0.427818
3140	0.583461	0.427818
3141	0.200274	0.626963
3142	0.200274	0.626963
3143	0.342729	0.832353
3144	0.327903	0.837159
3145	0.390082	1.21487
3146	0.288475	1.33549
3147	0.288475	1.33549
3148	0.123973	0.867691
3149	0.378501	0.982393
3150	0.378501	0.982393
3151	0.563525	1.11292
3152	0.563525	1.11292
3153	0.149203	1.22854
3154	0.149203	1.22854
3155	0.149203	1.22854
3156	0.149203	1.22854
3157	0.196218	1.38905
3158	0.196218	1.38905
3159	0.196218	1.38905
3160	0.196218	1.38905
3161	0.196218	1.38905
3162	0.25771	0.908962
3163	0.116762	0.769884
3164	0.44613	1.03623
3165	0.0226833	1.17411
3166	0.359267	0.937224
3167	0.359267	0.937224
3168	0.03697	1.12796
3169	0.339253	0.951935
3170	0.0652349	0.840711
3171	0.0652349	0.840711
3172	0.338758	1.00405
3173	0.140192	0.857021
3174	0.0714433	0.796444
3175	0.0714433	0.796444
3176	0.429037	0.339602
3177	0.491617	0.538132
3178	0.729279	0.812743
3179	1.02024	0.54858
3180	1.22347	0.727168
3181	0.831436	0.74978
3182	0.831436	0.74978
3183	0.831436	0.74978
3184	0.831436	0.74978
3185	0.831436	0.74978
3186	0.647702	0.894904
3187	0.363007	0.710315
3188	0.568878	0.621364
3189	0.876178	0.969706
3190	1.0851	0.962586
3191	1.0851	0.962586
3192	0.711996	0.885658
3193	0.683431	0.945048
3194	0.760412	1.10985
3195	0.760412	1.10985
3196	0.298933	0.965683
3197	0.298933	0.965683
3198	0.0295119	1.14141
3199	0.0295119	1.14141
3200	0.282289	0.74887
3201	0.48134	0.937205
3202	0.48134	0.937205
3203	0.48134	0.937205
3204	0.688546	0.691601
3205	0.688546	0.691601
3206	0.688546	0.691601
3207	0.688546	0.691601
3208	0.688546	0.691601
3209	0.767183	0.357456
3210	0.62265	0.674636
3211	0.62265	0.674636
3212	0.62265	0.674636
3213	0.25965	1.16457
3214	0.232096	1.50417
3215	0.247735	1.57522
3216	0.0924724	1.08516
3217	0.221482	0.948515
3218	0.111294	0.720068
3219	0.484846	0.556587
3220	0.484846	0.556587
3221	0.484846	0.556587
3222	0.941506	0.758665
3223	0.941506	0.758665
3224	0.941506	0.758665
3225	0.941506	0.758665
3226	0.941506	0.758665
3227	0.509906	0.496193
3228	0.509906	0.496193
3229	0.509906	0.496193
3230	0.201453	0.682195
3231	0.196156	0.93797
3232	0.196156	0.93797
3233	0.549788	0.806491
3234	0.583232	0.475352
3235	1.04123	0.436971
3236	0.662394	0.4521
3237	0.407724	0.589003
3238	0.831374	1.01851
3239	0.831374	1.01851
3240	0.831374	1.01851
3241	0.831374	1.01851
3242	0.574853	0.954618
3243	0.902161	0.558947
3244	0.902161	0.558947
3245	0.902161	0.558947
3246	0.902161	0.558947
3247	0.667632	0.747341
3248	0.667632	0.747341
3249	0.667632	0.747341
3250	0.187618	1.0168
3251	0.0340183	0.973132
3252	0.0340183	0.973132
3253	0.0340183	0.973132
3254	0.208222	1.0172
3255	0.274454	0.642114
3256	0.274454	0.642114
3257	0.029468	0.814856
3258	0.235314	0.584074
3259	0.235314	0.584074
3260	0.434617	0.714366
3261	0.0248452	1.1262
3262	0.0543436	1.61075
3263	0.275292	1.50829
3264	0.275292	1.50829
3265	0.275292	1.50829
3266	0.621189	1.52135
3267	0.621189	1.52135
3268	0.621189	1.52135
3269	0.799106	1.18188
3270	0.656327	0.771657
3271	0.656327	0.771657
3272	0.564554	0.555026
3273	0.788434	0.829741
3274	0.923681	0.975386
3275	0.923681	0.975386
3276	0.557553	0.951673
3277	0.860599	1.07066
3278	0.836132	0.578687
3279	0.43909	0.607564
3280	0.0461958	0.858098
3281	0.145091	0.725354
3282	0.337883	0.639597
3283	0.552926	0.759842
3284	0.637917	0.770909
3285	0.637917	0.770909
3286	0.637917	0.770909
3287	0.378522	1.157
3288	0.0855188	1.45429
3289	0.322519	1.36455
3290	0.322519	1.36455
3291	0.136531	1.06564
3292	0.564218	1.35661
3293	0.933682	0.940893
3294	1.14107	0.448192
3295	0.895125	0.700908
3296	0.895125	0.700908
3297	0.895125	0.700908
3298	0.895125	0.700908
3299	0.895125	0.700908
3300	0.629532	0.663366
3301	0.629532	0.663366
3302	0.160028	0.446212
3303	0.160028	0.446212
3304	0.370258	0.6721
3305	0.570169	0.73284
3306	0.606337	0.912476
3307	0.606337	0.912476
3308	0.606337	0.912476
3309	0.157718	0.72601
3310	0.277807	0.964127
3311	0.218836	0.676638
3312	0.66018	0.782112
3313	0.321232	1.06974
3314	0.166514	0.832055
3315	0.253162	0.711356
3316	0.334465	0.792014
3317	0.0846619	1.13336
3318	0.409011	1.47013
3319	0.45792	1.03321
3320	0.45792	1.03321
3321	0.631184	0.830859
3322	0.223262	1.19265
3323	0.608458	0.845698
3324	0.136347	0.96625
3325	0.226731	1.06873
3326	0.093871	1.03896
3327	0.093871	1.03896
3328	0.222795	0.747151
3329	0.384659	0.459606
3330	0.384659	0.459606
3331	0.339651	0.640155
3332	0.339651	0.640155
3333	0.716611	0.41244
3334	0.716611	0.41244
3335	1.0253	0.411352
3336	0.528015	0.668589
3337	0.528015	0.668589
3338	0.528015	0.668589
3339	0.956489	0.967862
3340	0.956489	0.967862
3341	0.956489	0.967862
3342	0.956489	0.967862
3343	0.733785	0.91222
3344	0.50357	0.543397
3345	0.50357	0.543397
3346	0.50357	0.543397
3347	0.639002	0.732104
3348	0.51501	0.724394
3349	0.478623	0.790977
3350	0.407224	1.07709
3351	0.784724	0.887257
3352	0.784724	0.887257
3353	0.852708	0.667308
3354	0.852708	0.667308
3355	0.407442	0.888709
3356	0.407442	0.888709
3357	0.764278	0.74888
3358	0.764278	0.74888
3359	0.764278	0.74888
3360	0.764278	0.74888
3361	0.527089	0.307312
3362	0.0928767	0.340067
3363	0.257679	0.660612
3364	0.267598	0.948377
3365	0.199385	0.695814
3366	0.66557	0.929914
3367	0.66557	0.929914
3368	0.66557	0.929914
3369	0.66557	0.929914
3370	0.411974	0.941454
3371	0.411974	0.941454
3372	0.57263	0.546486
3373	0.73667	0.997888
3374	0.360553	0.604656
3375	0.754861	0.809307
3376	0.711535	0.724527
3377	0.616607	1.07972
3378	0.616607	1.07972
3379	0.861905	0.778257
3380	0.844102	0.486556
3381	1.09092	0.459761
3382	1.09092	0.459761
3383	0.654212	0.87147
3384	0.654212	0.87147
3385	0.920213	1.04335
3386	0.920213	1.04335
3387	1.30076	0.74017
3388	0.826833	0.526517
3389	1.26493	0.764765
3390	1.26493	0.764765
3391	0.826192	0.791094
3392	0.826192	0.791094
3393	0.826192	0.791094
3394	1.27091	0.378911
3395	1.27663	0.690765
3396	1.01001	0.422569
3397	0.588893	0.745166
3398	0.425899	0.519895
3399	0.425899	0.519895
3400	0.425899	0.519895
3401	0.425899	0.519895
3402	0.261978	0.730036
3403	0.261978	0.730036
3404	0.0263985	0.873537
3405	0.00841159	0.765674
3406	0.0149311	0.981433
3407	0.448699	1.03754
3408	0.159361	0.606756
3409	0.14757	0.570609
3410	0.00874209	0.430579
3411	0.00874209	0.430579
3412	0.153157	0.559521
3413	0.153157	0.559521
3414	0.258523	0.488629
3415	0.258523	0.488629
3416	0.258523	0.488629
3417	0.220915	0.776451
3418	0.414099	1.18118
3419	0.414099	1.18118
3420	0.0206123	0.723361
3421	0.360854	0.458143
3422	0.360854	0.458143
3423	0.360854	0.458143
3424	0.360854	0.458143
3425	0.360854	0.458143
3426	0.360854	0.458143
3427	0.439925	0.372061
3428	0.439925	0.372061
3429	0.607502	0.532818
3430	0.544675	0.792667
3431	0.63426	0.690273
3432	0.63426	0.690273
3433	0.967108	0.321457
3434	0.967108	0.321457
3435	1.09162	0.534589
3436	1.09162	0.534589
3437	1.09162	0.534589
3438	1.09162	0.534589
3439	1.09162	0.534589
3440	0.765481	0.642362
3441	0.765481	0.642362
3442	1.01763	0.636607
3443	1.01763	0.636607
3444	1.01763	0.636607
3445	1.01763	0.636607
3446	1.01763	0.636607
3447	0.81986	0.801933
3448	0.81986	0.801933
3449	0.759676	0.680499
3450	0.588063	0.472609
3451	1.00999	0.880807
3452	1.00999	0.880807
3453	1.00999	0.880807
3454	0.940657	0.452307
3455	0.940657	0.452307
3456	0.940657	0.452307
3457	0.558497	0.631177
3458	0.705566	0.685833
3459	0.890919	0.959481
3460	1.0164	0.534663
3461	1.0164	0.534663
3462	0.798371	0.450602
3463	0.724502	0.500355
3464	0.724502	0.500355
3465	0.724502	0.500355
3466	0.724502	0.500355
3467	0.323978	0.92526
3468	0.0316146	1.10881
3469	0.0316146	1.10881
3470	0.0210649	0.950294
3471	0.0210649	0.950294
3472	0.038377	1.12934
3473	0.31685	0.989258
3474	0.239732	0.903913
3475	0.00467723	1.14451
3476	0.0460754	0.705195
3477	0.358921	0.699644
3478	0.27541	1.08297
3479	0.27541	1.08297
3480	0.430138	0.83372
3481	0.430138	0.83372
3482	0.430138	0.83372
3483	0.431511	1.02875
3484	0.431511	1.02875
3485	0.914799	0.728408
3486	0.914799	0.728408
3487	0.914799	0.728408
3488	0.914799	0.728408
3489	0.914799	0.728408
3490	0.914799	0.728408
3491	0.914799	0.728408
3492	0.914799	0.728408
3493	0.659263	0.460884
3494	1.02359	0.588302
3495	0.840078	0.769005
3496	0.840078	0.769005
3497	0.434245	0.649654
3498	0.81555	0.476105
3499	0.406736	0.589899
3500	0.406736	0.589899
3501	0.853723	0.962906
3502	0.747846	0.756568
3503	0.747846	0.756568
3504	0.747846	0.756568
3505	0.469858	0.649198
3506	0.92689	0.661133
3507	0.92689	0.661133
3508	0.496827	0.919871
3509	0.402017	0.591529
3510	0.402017	0.591529
3511	0.24413	1.07522
3512	0.259616	0.879581
3513	0.133693	0.794077
3514	0.339252	0.483108
3515	0.663606	0.434075
3516	0.663606	0.434075
3517	0.663606	0.434075
3518	0.452332	0.606613
3519	0.285107	0.654876
3520	0.58645	0.842115
3521	0.58645	0.842115
3522	0.58645	0.842115
3523	0.489943	0.455602
3524	0.489943	0.455602
3525	0.532002	0.891091
3526	0.670853	0.512859
3527	0.670853	0.512859
3528	0.670853	0.512859
3529	0.670853	0.512859
3530	0.670853	0.512859
3531	0.829847	0.684774
3532	0.829847	0.684774
3533	0.512047	0.603568
3534	0.512047	0.603568
3535	0.512047	0.603568
3536	0.512047	0.603568
3537	0.322366	0.484189
3538	0.322366	0.484189
3539	0.322366	0.484189
3540	0.322366	0.484189
3541	0.322366	0.484189
3542	0.64241	0.951177
3543	0.410051	0.564426
3544	0.219016	0.79107
3545	0.541513	1.0194
3546	0.741393	0.62341
3547	0.741393	0.62341
3548	0.741393	0.62341
3549	0.741393	0.62341
3550	0.741393	0.62341
3551	0.741393	0.62341
3552	0.609958	0.454997
3553	0.609958	0.454997
3554	0.609958	0.454997
3555	0.675935	0.486003
3556	0.251727	0.722076
3557	0.251727	0.722076
3558	0.000131265	0.66579
3559	0.159195	0.853717
3560	0.072047	1.16554
3561	0.404569	1.00273
3562	0.404569	1.00273
3563	0.404569	1.00273
3564	0.404569	1.00273
3565	0.834678	0.614599
3566	0.834678	0.614599
3567	0.688003	0.595256
3568	0.688003	0.595256
3569	0.688003	0.595256
3570	1.09595	0.58576
3571	1.09595	0.58576
3572	1.09595	0.58576
3573	0.610915	0.954396
3574	0.610915	0.954396
3575	0.30058	0.792662
3576	0.30058	0.792662
3577	0.126094	1.05119
3578	0.43835	1.40381
3579	0.43835	1.40381
3580	0.43835	1.40381
3581	0.0449365	1.15648
3582	0.0449365	1.15648
3583	0.385624	0.942646
3584	0.385624	0.942646
3585	0.206108	0.658462
3586	0.293345	1.02688
3587	0.293345	1.02688
3588	0.205338	0.527512
3589	0.205338	0.527512
3590	0.196524	0.745982
3591	0.196524	0.745982
3592	0.0354151	0.991187
3593	0.0354151	0.991187
3594	0.529127	0.74604
3595	0.457605	1.03037
3596	0.763271	0.566532
3597	0.598496	0.523883
3598	0.598496	0.523883
3599	0.605854	0.591793
3600	0.605854	0.591793
3601	0.605854	0.591793
3602	0.944347	0.745757
3603	0.944347	0.745757
3604	0.712531	0.65928
3605	0.712531	0.65928
3606	0.637081	0.674401
3607	0.743108	0.640596
3608	1.00604	0.622153
3609	1.00604	0.622153
3610	1.00604	0.622153
3611	0.690381	0.686469
3612	0.690381	0.686469
3613	0.690381	0.686469
3614	0.41524	0.898126
3615	0.41524	0.898126
3616	0.41524	0.898126
3617	0.693839	0.923143
3618	0.693839	0.923143
3619	0.693839	0.923143
3620	0.693839	0.923143
3621	0.828268	0.822843
3622	0.862283	1.02689
3623	0.862283	1.02689
3624	0.900734	0.976891
3625	0.774034	0.484049
3626	0.774034	0.484049
3627	0.774034	0.484049
3628	0.774034	0.484049
3629	0.429903	0.474425
3630	0.00524415	0.660929
3631	0.238099	1.07944
3632	0.238099	1.07944
3633	0.138189	1.43521
3634	0.138189	1.43521
3635	0.138189	1.43521
3636	0.0579838	1.11548
3637	0.0579838	1.11548
3638	0.247732	1.35055
3639	0.247732	1.35055
3640	0.247732	1.35055
3641	0.226339	1.29045
3642	0.135021	1.1321
3643	0.135021	1.1321
3644	0.135021	1.1321
3645	0.135021	1.1321
3646	0.120525	0.734755
3647	0.264817	1.18442
3648	0.264817	1.18442
3649	0.349424	0.945299
3650	0.349424	0.945299
3651	0.74221	0.564315
3652	0.74221	0.564315
3653	0.74221	0.564315
3654	0.74221	0.564315
3655	0.245444	0.488364
3656	0.240204	0.469598
3657	0.719938	0.494025
3658	0.719938	0.494025
3659	0.768409	0.512667
3660	0.768409	0.512667
3661	0.994061	0.391455
3662	1.06895	0.810324
3663	1.06895	0.810324
3664	1.06895	0.810324
3665	1.06895	0.810324
3666	1.06895	0.810324
3667	0.76076	0.52477
3668	0.605051	0.9088
3669	0.258061	1.18282
3670	0.258061	1.18282
3671	0.258061	1.18282
3672	0.145646	0.735531
3673	0.145646	0.735531
3674	0.295973	0.552799
3675	0.645311	0.379646
3676	0.645311	0.379646
3677	0.645311	0.379646
3678	0.645311	0.379646
3679	0.980513	0.851299
3680	0.70209	0.510074
3681	0.752877	0.859033
3682	0.752877	0.859033
3683	0.665377	0.890672
3684	0.679918	0.730254
3685	0.920274	0.364848
3686	0.920274	0.364848
3687	0.586837	0.481836
3688	0.586837	0.481836
3689	0.586837	0.481836
3690	0.586837	0.481836
3691	0.0981093	0.900905
3692	0.0981093	0.900905
3693	0.322862	1.10647
3694	0.717128	1.22952
3695	0.717128	1.22952
3696	0.717128	1.22952
3697	0.717128	1.22952
3698	0.298148	0.913018
3699	0.772057	0.985233
3700	0.745287	1.10923
3701	0.627227	0.750521
3702	0.33496	0.834931
3703	0.104463	0.814181
3704	0.354161	0.478843
3705	0.354161	0.478843
3706	0.634032	0.549526
3707	0.807221	0.510079
3708	0.807221	0.510079
3709	0.73696	0.730392
3710	0.73696	0.730392
3711	0.996359	1.20428
3712	0.996359	1.20428
3713	0.996359	1.20428
3714	0.996359	1.20428
3715	0.996359	1.20428
3716	0.709593	1.5406
3717	0.789117	1.4018
3718	1.12072	1.09173
3719	1.12072	1.09173
3720	1.12072	1.09173
3721	0.640478	1.43151
3722	0.640478	1.43151
3723	0.628408	1.11075
3724	0.387995	1.17088
3725	0.128902	1.10178
3726	0.128902	1.10178
3727	0.128902	1.10178
3728	0.146527	0.732476
3729	0.446577	0.533624
3730	0.687826	0.685596
3731	0.687826	0.685596
3732	0.687826	0.685596
3733	1.16089	0.608859
3734	1.025	0.580902
3735	0.549314	1.05418
3736	0.621118	1.09993
3737	0.931863	0.612943
3738	0.931863	0.612943
3739	1.26135	0.638048
3740	1.1982	0.393316
3741	1.1982	0.393316
3742	1.1982	0.393316
3743	1.1982	0.393316
3744	1.1982	0.393316
3745	1.29495	0.643681
3746	1.29495	0.643681
3747	1.29495	0.643681
3748	1.05905	0.940546
3749	0.992285	0.696427
3750	0.501547	0.469475
3751	0.0419727	0.813207
3752	0.000568765	1.0146
3753	0.328672	0.713423
3754	0.75375	1.1866
3755	0.876631	1.00429
3756	1.02343	0.608292
3757	1.20375	0.642322
3758	1.20375	0.642322
3759	1.20375	0.642322
3760	1.06512	0.411208
3761	0.925404	0.695754
3762	0.925404	0.695754
3763	0.925404	0.695754
3764	0.925404	0.695754
3765	0.925404	0.695754
3766	0.925404	0.695754
3767	0.535801	0.781178
3768	0.514588	0.913969
3769	0.536491	0.507899
3770	0.73117	0.898105
3771	0.598248	0.428308
3772	0.598248	0.428308
3773	0.598248	0.428308
3774	0.598248	0.428308
3775	0.598248	0.428308
3776	0.589356	0.761528
