step	mu	sigma
265	0.514869	0.639141
266	0.824274	0.799791
267	0.432244	1.06412
268	0.232684	1.41913
269	0.33249	1.0647
270	0.11128	1.03707
271	0.015524	0.668157
272	0.229898	0.733661
273	0.229898	0.733661
274	0.622594	1.04151
275	0.728616	0.849824
276	0.728616	0.849824
277	0.314752	1.20992
278	0.314752	1.20992
279	0.314752	1.20992
280	0.506739	0.952665
281	0.114292	0.708802
282	0.219674	0.755279
283	0.615482	0.314623
284	0.615482	0.314623
285	0.615482	0.314623
286	0.615482	0.314623
287	0.398908	0.769553
288	0.802598	0.994551
289	0.688143	1.02823
290	0.357043	1.19023
291	0.0421654	1.57053
292	0.131747	1.20135
293	0.131747	1.20135
294	0.121528	0.880304
295	0.121528	0.880304
296	0.545714	1.03333
297	0.911623	1.07187
298	0.911623	1.07187
299	0.900686	0.866611
300	0.983536	0.712266
301	1.21772	0.605573
302	1.07155	0.936021
303	1.0364	1.06012
304	0.949418	0.723607
305	0.949418	0.723607
306	0.706461	0.5174
307	0.706461	0.5174
308	0.706461	0.5174
309	0.89403	1.01038
310	0.89403	1.01038
311	0.66035	0.845491
312	0.66035	0.845491
313	0.66035	0.845491
314	0.491685	0.755677
315	0.525413	0.916768
316	0.927241	0.689462
317	0.927241	0.689462
318	0.927241	0.689462
319	0.858997	0.660441
320	0.858997	0.660441
321	0.858997	0.660441
322	0.858997	0.660441
323	0.930875	0.639349
324	0.930875	0.639349
325	0.951292	0.569236
326	0.951292	0.569236
327	0.838126	0.631334
328	0.811274	1.02682
329	0.639917	0.965069
330	0.663614	1.04324
331	0.663614	1.04324
332	0.663614	1.04324
333	0.80697	1.08239
334	1.07323	0.782193
335	1.07323	0.782193
336	0.642877	1.26521
337	0.335061	0.987953
338	0.117709	1.09642
339	0.204467	1.0276
340	0.291979	1.24052
341	0.135212	1.28026
342	0.0433687	1.23089
343	0.294231	1.33408
344	0.0625465	0.97285
345	0.0625465	0.97285
346	0.168233	1.35979
347	0.121647	1.22026
348	0.121647	1.22026
349	0.309224	0.959307
350	0.580033	0.7794
351	0.580033	0.7794
352	0.542307	1.00783
353	0.921208	1.11926
354	0.921208	1.11926
355	0.921208	1.11926
356	0.631735	0.775182
357	0.291321	1.06133
358	0.291321	1.06133
359	0.460034	0.973546
360	0.460034	0.973546
361	0.171965	0.753026
362	0.163745	1.03974
363	0.163745	1.03974
364	0.149047	1.28888
365	0.149047	1.28888
366	0.125291	0.829849
367	0.283753	0.750224
368	0.182318	0.941526
369	0.167725	0.827253
370	0.637471	0.824039
371	0.379351	1.19339
372	0.379351	1.19339
373	0.556688	0.795491
374	0.658829	0.89524
375	0.658829	0.89524
376	0.334711	0.771934
377	0.334711	0.771934
378	0.0725462	0.866298
379	0.0725462	0.866298
380	0.0389947	0.794611
381	0.0389947	0.794611
382	0.430029	1.11245
383	0.258803	0.887981
384	0.16299	1.10599
385	0.229516	1.25085
386	0.232056	1.25819
387	0.232056	1.25819
388	0.0399089	1.41139
389	0.496512	1.30878
390	0.496512	1.30878
391	0.611946	1.06563
392	0.4287	1.40433
393	0.614164	1.23324
394	0.624105	1.35101
395	0.479368	1.41285
396	0.793464	1.58017
397	0.793464	1.58017
398	0.6082	1.4179
399	0.6082	1.4179
400	0.79211	1.00114
401	0.79211	1.00114
402	0.802706	0.658502
403	0.478417	0.615593
404	0.478417	0.615593
405	0.612928	0.961653
406	0.612928	0.961653
407	0.523743	0.613092
408	0.767429	0.35812
409	0.767429	0.35812
410	0.767429	0.35812
411	0.512756	0.485517
412	0.512756	0.485517
413	0.512756	0.485517
414	0.512756	0.485517
415	0.405024	0.932302
416	0.4317	1.06985
417	0.4317	1.06985
418	0.673429	0.690575
419	0.673429	0.690575
420	0.673429	0.690575
421	0.673429	0.690575
422	0.673429	0.690575
423	1.10126	0.540675
424	0.807546	0.425797
425	0.751902	0.859808
426	0.704699	0.814314
427	0.647557	0.898656
428	0.647557	0.898656
429	0.647557	0.898656
430	0.158053	1.37039
431	0.108401	1.13145
432	0.232818	1.04493
433	0.634629	1.06498
434	0.634629	1.06498
435	0.634629	1.06498
436	0.346535	1.20292
437	0.414788	1.2978
438	0.121069	1.24623
439	0.30031	1.00557
440	0.284848	1.29162
441	0.284848	1.29162
442	0.690273	1.20007
443	0.328162	1.11443
444	0.328162	1.11443
445	0.127722	0.76649
446	0.472475	0.348598
447	0.472475	0.348598
448	0.472475	0.348598
449	0.464981	0.74133
450	0.0600893	1.02264
451	0.0285233	0.563119
452	0.0702118	0.996825
453	0.192478	0.789857
454	0.192478	0.789857
455	0.192478	0.789857
456	0.192478	0.789857
457	0.256655	1.1354
458	0.256655	1.1354
459	0.67785	0.666362
460	0.67785	0.666362
461	0.67785	0.666362
462	0.375477	0.802391
463	0.680752	0.843892
464	0.680752	0.843892
465	0.680752	0.843892
466	0.973719	0.68965
467	0.826472	0.936618
468	0.826472	0.936618
469	0.826472	0.936618
470	0.49402	0.878126
471	0.478276	0.902471
472	0.0858758	0.75908
473	0.257134	0.868951
474	0.680288	0.398659
475	0.879326	0.58115
476	0.635018	0.613232
477	0.524231	1.10023
478	0.271476	1.18255
479	0.271476	1.18255
480	0.153845	1.41061
481	0.153845	1.41061
482	0.153845	1.41061
483	0.104865	1.10501
484	0.021441	0.847074
485	0.485688	1.24699
486	0.485688	1.24699
487	0.485688	1.24699
488	0.657886	0.872166
489	0.552951	1.21683
490	0.436087	0.850079
491	0.436087	0.850079
492	0.344293	0.792479
493	0.344293	0.792479
494	0.0183344	0.58034
495	0.177226	0.776847
496	0.305867	0.436651
497	0.601327	0.488025
498	0.546638	0.582948
499	0.546638	0.582948
500	0.299828	0.995774
501	0.0526619	0.747616
502	0.187957	0.517466
503	0.187957	0.517466
504	0.340222	0.549957
505	0.156404	0.533862
506	0.156404	0.533862
507	0.156404	0.533862
508	0.520828	0.779352
509	0.548801	0.608498
510	0.548801	0.608498
511	0.416559	0.607852
512	0.352003	0.991375
513	0.352003	0.991375
514	0.0322358	1.15003
515	0.237215	0.668868
516	0.480227	0.399613
517	0.480227	0.399613
518	0.0971362	0.483778
519	0.0971362	0.483778
520	0.262706	0.315009
521	0.257595	0.489754
522	0.080884	0.967925
523	0.457507	0.764536
524	0.0280798	0.492069
525	0.150105	0.76881
526	0.150105	0.76881
527	0.381178	0.731095
528	0.718601	0.525824
529	0.905898	0.919643
530	0.491748	1.07351
531	0.491748	1.07351
532	0.386973	1.26432
533	0.386973	1.26432
534	0.147183	0.88982
535	0.25656	1.26992
536	0.183374	0.88426
537	0.0407348	0.855977
538	0.207846	1.27237
539	0.317319	0.888618
540	0.317319	0.888618
541	0.317319	0.888618
542	0.101988	1.09871
543	0.416623	1.06909
544	0.416623	1.06909
545	0.428178	0.789499
546	0.424244	1.02595
547	0.424244	1.02595
548	0.256781	0.823751
549	0.0977302	0.980817
550	0.554273	0.911302
551	0.0759556	0.607005
552	0.425461	0.677807
553	0.52694	0.455715
554	0.75984	0.943729
555	0.338632	0.580038
556	0.160505	0.631527
557	0.442771	0.951616
558	0.673905	0.645119
559	0.985936	0.358121
560	0.985936	0.358121
561	0.850674	0.731914
562	0.850674	0.731914
563	0.754389	0.897929
564	0.46168	0.970417
565	0.144703	0.876898
566	0.117651	0.885783
567	0.367508	0.632218
568	0.367508	0.632218
569	0.708433	0.62623
570	1.12449	0.863252
571	1.12449	0.863252
572	1.09104	0.741917
573	0.619421	1.18555
574	0.582229	0.774823
575	0.611373	0.578331
576	0.117301	0.704481
577	0.268062	1.02712
578	0.262106	0.947636
579	0.262106	0.947636
580	0.0414338	1.3801
581	0.474506	1.27696
582	0.474506	1.27696
583	0.846515	0.823258
584	0.362988	0.874276
585	0.506907	0.710482
586	0.87996	0.453337
587	0.87996	0.453337
588	0.87996	0.453337
589	1.20739	0.508353
590	1.20739	0.508353
591	1.20739	0.508353
592	1.20739	0.508353
593	1.20739	0.508353
594	0.740951	0.67677
595	0.62052	0.947132
596	1.11412	0.590045
597	1.11412	0.590045
598	1.04717	0.929708
599	1.04717	0.929708
600	1.04717	0.929708
601	1.04717	0.929708
602	1.04717	0.929708
603	1.04717	0.929708
