x	y	z
-0.977811	-0.0170875	2.82656
-0.977811	-0.0170875	2.82656
-0.977811	-0.0170875	2.82656
-0.977811	-0.0170875	2.82656
0.427852	1.7455	3.18286
0.427852	1.7455	3.18286
0.18198	2.49577	5.33931
-0.251316	1.36229	6.60744
-1.51883	-2.98205	5.55834
-1.18952	-2.74957	6.37121
-0.422494	-5.1023	2.98285
3.51455	-3.15805	4.18819
1.86081	1.4527	6.64668
4.97117	2.67161	3.89437
6.34839	2.41027	3.17802
6.34839	2.41027	3.17802
6.34839	2.41027	3.17802
6.34839	2.41027	3.17802
6.34839	2.41027	3.17802
6.34839	2.41027	3.17802
4.31171	2.22711	2.26561
2.94173	2.45067	2.07214
0.989619	2.44739	1.8852
0.372057	1.42062	1.57351
0.372057	1.42062	1.57351
1.90853	1.41672	1.4363
3.03484	0.218215	2.53149
3.03484	0.218215	2.53149
3.03484	0.218215	2.53149
3.03484	0.218215	2.53149
0.865689	-0.513738	1.11741
0.865689	-0.513738	1.11741
2.09959	-1.10025	0.586476
2.09959	-1.10025	0.586476
2.09959	-1.10025	0.586476
2.09959	-1.10025	0.586476
2.09959	-1.10025	0.586476
-1.05365	-1.854	3.33656
-1.05365	-1.854	3.33656
-1.05365	-1.854	3.33656
-1.05365	-1.854	3.33656
-0.60342	1.24756	3.74289
0.904118	-2.22016	4.07047
0.904118	-2.22016	4.07047
0.904118	-2.22016	4.07047
0.904118	-2.22016	4.07047
0.656658	-3.70657	2.20422
0.656658	-3.70657	2.20422
-0.608851	-1.13411	4.31438
-0.608851	-1.13411	4.31438
-0.608851	-1.13411	4.31438
-1.1105	-1.55424	4.46841
-1.31421	-1.15646	0.892903
-0.349998	-3.336	1.95339
-0.470494	-3.01289	-0.981415
-0.470494	-3.01289	-0.981415
-0.470494	-3.01289	-0.981415
-0.470494	-3.01289	-0.981415
-1.24733	-3.69283	-1.32645
0.843587	-3.49638	-2.28793
1.66834	-2.33529	-3.39939
2.3264	-1.4143	-5.07157
-1.13494	-1.33474	-6.15222
-1.13494	-1.33474	-6.15222
-1.13494	-1.33474	-6.15222
-1.13494	-1.33474	-6.15222
1.77338	-2.72746	-5.93098
-2.08652	-2.00572	-4.8597
-2.08652	-2.00572	-4.8597
-2.08652	-2.00572	-4.8597
-0.799181	-2.46493	-3.1014
-0.799181	-2.46493	-3.1014
-1.07262	-1.60052	-3.01936
0.310347	-1.05438	-4.72216
0.310347	-1.05438	-4.72216
0.310347	-1.05438	-4.72216
-0.410184	-1.98592	-3.7694
0.141987	-0.424649	-3.20747
0.141987	-0.424649	-3.20747
0.141987	-0.424649	-3.20747
0.141987	-0.424649	-3.20747
0.141987	-0.424649	-3.20747
0.141987	-0.424649	-3.20747
0.141987	-0.424649	-3.20747
-0.808318	-0.728721	-2.05833
-0.808318	-0.728721	-2.05833
-1.4108	1.72134	-3.93186
-1.4108	1.72134	-3.93186
-0.69673	0.792891	-1.60502
1.15559	-1.6461	-2.30843
1.15559	-1.6461	-2.30843
1.15559	-1.6461	-2.30843
-1.96627	-0.91999	-2.53602
-1.96627	-0.91999	-2.53602
-1.96627	-0.91999	-2.53602
-1.96627	-0.91999	-2.53602
-1.96627	-0.91999	-2.53602
-1.96627	-0.91999	-2.53602
-2.99409	-0.530221	-2.41155
-2.99409	-0.530221	-2.41155
-2.99409	-0.530221	-2.41155
-2.99409	-0.530221	-2.41155
-1.41267	-0.498162	-1.38796
-0.0860813	-1.34582	-1.69051
-1.52565	-0.897191	-1.87353
-1.52565	-0.897191	-1.87353
-2.43916	-1.51505	-3.40679
-2.79672	-5.04529	-3.58245
-1.12597	-5.9258	-3.4565
0.548046	-1.95217	-0.659971
-1.41139	-1.48308	-4.16134
-1.41139	-1.48308	-4.16134
-1.41139	-1.48308	-4.16134
-1.41139	-1.48308	-4.16134
0.862843	0.0529042	-4.14357
-0.295178	0.211581	-3.70371
-0.295178	0.211581	-3.70371
-0.295178	0.211581	-3.70371
1.55927	-0.595607	-3.70613
1.55927	-0.595607	-3.70613
