x	y	z
-0.225211	-3.57871	2.58278
-0.225211	-3.57871	2.58278
-3.07025	-1.59295	4.0834
-1.0383	1.12377	5.9337
-1.07172	0.988089	5.56268
-3.65743	0.920061	2.74545
-3.65743	0.920061	2.74545
-1.92281	2.27066	2.03381
-1.92281	2.27066	2.03381
-0.228754	0.963752	3.85714
-0.228754	0.963752	3.85714
-0.228754	0.963752	3.85714
0.236375	1.68447	3.32652
-1.26482	2.21488	0.99637
-1.26482	2.21488	0.99637
-1.26482	2.21488	0.99637
0.481033	2.67089	1.23394
0.481033	2.67089	1.23394
0.481033	2.67089	1.23394
0.177644	0.642683	1.60821
0.177644	0.642683	1.60821
-0.300403	3.26507	3.61682
-1.0442	3.41351	2.90274
-1.0442	3.41351	2.90274
-1.0442	3.41351	2.90274
-0.861859	2.5701	3.07657
-0.861859	2.5701	3.07657
-0.861859	2.5701	3.07657
-0.861859	2.5701	3.07657
-2.56794	0.653304	4.30936
-2.56794	0.653304	4.30936
-2.56794	0.653304	4.30936
-2.56794	0.653304	4.30936
0.376846	0.42657	1.84735
-1.63118	0.361072	4.44898
-0.0831958	1.71984	2.4751
-2.86655	-0.144753	1.62039
-3.38475	-2.36282	2.32708
-3.38475	-2.36282	2.32708
-3.38475	-2.36282	2.32708
-3.38475	-2.36282	2.32708
-3.41669	-3.13815	1.732
-3.41669	-3.13815	1.732
-1.06564	-2.53543	-0.660931
0.155944	-2.60934	-1.5542
0.155944	-2.60934	-1.5542
-2.03916	-2.33405	-3.15216
-2.03916	-2.33405	-3.15216
0.054456	-1.08546	-3.8743
0.054456	-1.08546	-3.8743
0.054456	-1.08546	-3.8743
0.054456	-1.08546	-3.8743
0.054456	-1.08546	-3.8743
1.52605	0.139331	-5.55852
-0.0458492	3.05427	-4.39259
-0.0458492	3.05427	-4.39259
-0.0458492	3.05427	-4.39259
-0.0458492	3.05427	-4.39259
-0.0458492	3.05427	-4.39259
-0.828854	3.03841	-3.71879
-1.75206	0.783312	-2.18466
-0.310087	-1.85941	-3.407
1.58616	0.167019	-5.22634
-0.755043	1.90725	-7.26481
-1.04461	2.58176	-5.90988
-1.04461	2.58176	-5.90988
-1.10385	4.76746	-2.91631
-2.73697	6.1408	-3.0219
-2.73697	6.1408	-3.0219
-0.86107	6.07606	-0.955665
1.15726	4.42961	0.564183
2.16793	1.56314	-2.04473
2.16793	1.56314	-2.04473
3.92801	-0.652159	-3.21972
3.92801	-0.652159	-3.21972
3.92801	-0.652159	-3.21972
3.92801	-0.652159	-3.21972
3.92801	-0.652159	-3.21972
3.92801	-0.652159	-3.21972
3.92801	-0.652159	-3.21972
2.084	-1.57964	-2.94804
2.34294	-0.105239	-4.36636
2.34294	-0.105239	-4.36636
2.34294	-0.105239	-4.36636
0.908725	-0.419853	-1.91468
0.908725	-0.419853	-1.91468
0.908725	-0.419853	-1.91468
0.908725	-0.419853	-1.91468
0.908725	-0.419853	-1.91468
-0.900107	-1.53742	-2.60997
