gen	fitness
0	819.832
1	792.573
2	718.011
3	663.607
4	621.638
5	604.253
6	634.93
7	596.431
8	587.543
9	554.004
10	543.866
11	519.325
12	509.745
13	500.969
14	496.171
15	475.545
16	473.902
17	459.391
18	436.518
19	434.363
20	430.465
21	422.49
22	417.249
23	408.351
24	405.197
25	398.644
26	392.493
27	384.356
28	384.356
29	377.61
30	375.155
31	368.409
32	365.386
33	356.046
34	354.453
35	349.526
36	338.432
37	338.432
38	333.982
39	333.982
40	328.858
41	326.708
42	324.685
43	321.564
44	319.369
45	318.841
46	317.334
47	316.188
48	312.791
49	312.61
50	308.55
51	307.325
52	306.379
53	306.035
54	304.686
55	304.342
56	301.66
57	298.869
58	298.409
59	292.76
60	292.76
61	289.659
62	289.659
63	286.701
64	286.701
65	285.877
66	285.877
67	284.753
68	284.753
69	283.929
70	283.929
71	283.758
72	283.207
73	282.64
74	280.996
75	279.988
76	279.988
77	279.988
78	278.569
79	278.569
80	278.569
81	278.569
82	278.004
83	278.004
84	278.004
85	278.004
86	278.004
87	277.705
88	277.705
89	277.705
90	277.705
91	277.064
92	277.064
93	277.064
94	277.064
95	277.064
96	277.064
97	277.064
98	277.064
99	277.064
100	277.064
101	277.064
102	277.064
103	277.064
104	277.064
105	277.064
106	277.064
107	277.064
108	277.064
109	277.064
110	277.064
111	277.064
112	277.064
113	277.064
114	277.064
115	277.064
116	277.064
117	277.064
118	277.064
119	277.064
120	277.064
121	277.064
122	277.064
123	277.064
124	277.064
125	277.064
126	277.064
127	277.064
128	277.064
129	277.064
130	277.064
131	277.064
132	277.064
133	277.064
134	277.064
135	277.064
136	277.064
137	277.064
138	277.064
139	277.064
140	277.064
141	277.064
142	277.064
143	277.064
144	277.064
145	277.064
146	277.064
147	277.064
148	277.064
149	277.064
150	277.064
