gen	fitness
0	813.627
1	783.648
2	699.748
3	708.087
4	676.707
5	655.216
6	590.363
7	576.872
8	546.319
9	538.288
10	527.125
11	521.458
12	506.578
13	492.203
14	485.197
15	476.707
16	450.518
17	443.328
18	432.488
19	422.141
20	416.029
21	402.105
22	402.105
23	391.266
24	387.52
25	382.034
26	377.47
27	373.984
28	366.86
29	366.86
30	357.659
31	356.143
32	354.682
33	346.191
34	343.378
35	340.126
36	331.637
37	329.942
38	328.77
39	326.256
40	321.51
41	320.646
42	317.439
43	312.058
44	310.962
45	309.394
46	307.276
47	304.013
48	304.013
49	302.992
50	302.096
51	301.951
52	298.885
53	298.885
54	297.865
55	297.865
56	296.823
57	295.803
58	295.537
59	294.206
60	292.768
61	292.768
62	291.516
63	290.167
64	290.167
65	289.971
66	288.746
67	287.476
68	287.476
69	286.523
70	286.466
71	286.145
72	285.258
73	285.05
74	285.05
75	284.881
76	281.823
77	281.823
78	281.823
79	280.813
80	280.813
81	280.58
82	280.58
83	280.059
84	279.571
85	279.571
86	279.441
87	278.794
88	278.794
89	278.664
90	278.664
91	278.664
92	278.459
93	278.459
94	278.459
95	278.459
96	278.459
97	277.893
98	277.893
99	277.893
100	277.893
101	277.893
102	277.893
103	277.893
104	277.893
105	277.893
106	277.893
107	277.893
108	277.893
109	277.893
110	277.893
111	277.893
112	277.893
113	277.893
114	277.893
115	277.893
116	277.893
117	277.893
118	277.893
119	277.893
120	277.893
121	277.893
122	277.893
123	277.893
124	277.893
125	277.893
126	277.893
127	277.893
128	277.893
129	277.893
130	277.893
131	277.893
132	277.893
133	277.893
134	277.893
135	277.893
136	277.893
137	277.893
138	277.893
139	277.893
140	277.893
141	277.893
142	277.893
143	277.893
144	277.893
145	277.893
146	277.893
147	277.893
148	277.893
149	277.893
150	277.893
