Mean	Error
979.372	0
937.115	29.8805
898.605	37.2225
867.147	39.0066
841.588	38.6831
814.661	40.5387
789.62	41.7717
767.686	41.915
748.722	41.3259
731.88	40.4799
717.778	39.1793
704.918	37.9662
692.875	36.9064
681.431	36.001
670.448	35.2362
659.911	34.5737
649.91	33.9556
640.375	33.3812
631.155	32.8728
622.157	32.4374
613.453	32.0391
605.107	31.6512
597.074	31.2779
589.344	30.915
581.928	30.5551
574.807	30.1982
568.014	29.834
561.501	29.4708
555.27	29.106
549.297	28.742
543.572	28.3794
538.064	28.0218
532.755	27.671
527.649	27.3242
522.719	26.9846
517.951	26.6529
513.321	26.3317
508.809	26.0224
504.413	25.7238
500.137	25.4336
495.989	25.1494
491.977	24.8684
488.09	24.592
484.318	24.3206
480.646	24.0558
477.071	23.797
473.587	23.5443
470.196	23.2967
466.901	23.0532
463.7	22.8133
460.591	22.5769
457.575	22.3431
454.657	22.1114
451.829	21.882
449.083	21.6558
446.414	21.4328
443.823	21.2129
441.309	20.9956
438.87	20.7809
436.501	20.5692
434.196	20.3607
431.951	20.1557
429.762	19.9542
427.628	19.7563
425.545	19.5618
423.512	19.3707
421.529	19.1829
419.595	18.9981
417.707	18.8163
415.862	18.6377
414.059	18.4622
412.298	18.2896
410.578	18.1197
408.899	17.9525
407.258	17.7879
405.656	17.6259
404.091	17.4664
402.559	17.3095
401.055	17.1555
399.577	17.0047
398.125	16.8566
396.702	16.711
395.309	16.5676
393.946	16.4264
392.612	16.2872
391.307	16.15
390.028	16.0149
388.775	15.8819
387.547	15.7508
386.343	15.6218
385.164	15.4946
384.007	15.3692
382.875	15.2456
381.766	15.1237
380.68	15.0034
379.616	14.8848
378.574	14.7679
377.552	14.6525
376.55	14.5387
375.567	14.4265
374.602	14.3159
373.655	14.2069
372.725	14.0993
371.813	13.9932
370.919	13.8885
370.041	13.7852
369.18	13.6832
368.335	13.5826
367.505	13.4833
366.69	13.3853
365.89	13.2886
365.104	13.1932
364.333	13.099
363.574	13.006
362.829	12.9142
362.097	12.8236
361.377	12.7342
360.67	12.6459
359.974	12.5588
359.29	12.4727
358.618	12.3878
357.956	12.3039
357.305	12.2211
356.665	12.1393
356.035	12.0585
355.414	11.9787
354.804	11.9
354.203	11.8222
353.612	11.7453
353.029	11.6694
352.456	11.5944
351.891	11.5203
351.334	11.4471
350.786	11.3748
350.246	11.3034
349.714	11.2328
349.19	11.163
348.673	11.094
348.164	11.0259
347.662	10.9586
347.167	10.892
346.68	10.8262
346.199	10.7612
345.724	10.6969
345.256	10.6334
344.795	10.5706
344.34	10.5084
343.891	10.447
343.448	10.3863
343.011	10.3262
