gen	fitness
0	791.461
1	781.135
2	756.652
3	730.84
4	702.649
5	685.519
6	656.912
7	648.164
8	611.639
9	593.742
10	566.091
11	577.306
12	558.933
13	549.447
14	528.126
15	498.139
16	488.879
17	484.001
18	473.525
19	462.741
20	454.157
21	441.999
22	423.447
23	423.447
24	411.651
25	406.781
26	396.686
27	394.025
28	389.749
29	384.053
30	377.952
31	375.443
32	370.76
33	365.426
34	363.767
35	357.3
36	355.169
37	350.257
38	349.282
39	345.273
40	344.227
41	343.16
42	339.079
43	336.627
44	333.632
45	330.173
46	330.173
47	325.471
48	325.471
49	322.046
50	318.139
51	315.711
52	312.692
53	312.692
54	309.494
55	307.404
56	304.13
57	301.957
58	300.641
59	298.488
60	298.488
61	297.171
62	297.171
63	294.999
64	294.999
65	293.213
66	292.193
67	291.934
68	291.565
69	290.149
70	289.128
71	288.2
72	287.343
73	287.343
74	287.097
75	287.097
76	286.385
77	285.82
78	285.135
79	285.135
80	285.135
81	283.225
82	283.225
83	283.074
84	283.074
85	283.074
86	282.979
87	281.738
88	281.738
89	281.738
90	281.738
91	280.038
92	280.038
93	280.038
94	280.038
95	280.038
96	280.038
97	280.038
98	280.038
99	280.038
100	280.038
101	280.038
102	280.038
103	280.038
104	280.038
105	280.038
106	280.038
107	280.038
108	280.038
109	280.038
110	280.038
111	280.038
112	280.038
113	280.038
114	280.038
115	280.038
116	280.038
117	280.038
118	280.038
119	280.038
120	280.038
121	280.038
122	280.038
123	280.038
124	280.038
125	280.038
126	280.038
127	280.038
128	280.038
129	280.038
130	280.038
131	280.038
132	280.038
133	280.038
134	280.038
135	280.038
136	280.038
137	280.038
138	280.038
139	280.038
140	280.038
141	280.038
142	280.038
143	280.038
144	280.038
145	280.038
146	280.038
147	280.038
148	280.038
149	280.038
150	280.038
