x	y	z
0.722502	-0.499584	-0.453748
0.722502	-0.499584	-0.453748
0.722502	-0.499584	-0.453748
1.71015	-0.51802	-0.287139
0.726824	-1.07287	0.700991
0.199066	-1.73701	0.683037
0.199066	-1.73701	0.683037
-0.128791	-0.752667	1.09429
-0.128791	-0.752667	1.09429
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.302456	-0.0834948	0.120811
-0.651824	-1.23247	1.34494
-0.651824	-1.23247	1.34494
-0.6843	-0.0257759	0.160753
-0.6843	-0.0257759	0.160753
-0.6843	-0.0257759	0.160753
-0.243702	-0.644578	-0.793894
-0.243702	-0.644578	-0.793894
-0.243702	-0.644578	-0.793894
-0.360987	-1.34055	0.258342
-0.312871	-0.510714	0.623354
-0.312871	-0.510714	0.623354
-0.312871	-0.510714	0.623354
-1.26288	-0.614322	-0.464326
-0.737297	0.00187768	-1.32254
-0.737297	0.00187768	-1.32254
-1.65434	-0.581911	-2.21347
-1.65434	-0.581911	-2.21347
-1.40178	-0.39119	-2.34491
-1.40178	-0.39119	-2.34491
-1.40178	-0.39119	-2.34491
-1.68244	-0.842882	-1.17976
-1.34379	-0.780363	-0.0316345
-0.628121	-0.0475009	0.420254
-0.628121	-0.0475009	0.420254
0.292732	-0.716611	0.0725067
0.461676	-0.659524	-0.0372159
0.216681	0.0611324	-0.101587
0.216681	0.0611324	-0.101587
0.216681	0.0611324	-0.101587
0.216681	0.0611324	-0.101587
0.216681	0.0611324	-0.101587
0.216681	0.0611324	-0.101587
-0.201766	-1.17541	0.027423
-0.201766	-1.17541	0.027423
0.640659	-0.183705	-1.08092
0.909812	1.01637	-1.06109
0.909812	1.01637	-1.06109
-0.125084	0.458169	-0.916699
-0.288947	0.911647	-0.614206
-0.288947	0.911647	-0.614206
-0.288947	0.911647	-0.614206
-1.33847	0.336142	0.625309
-1.71572	-0.22287	1.19112
-0.48262	-1.33057	0.416991
0.370539	-1.307	0.55158
0.370539	-1.307	0.55158
0.370539	-1.307	0.55158
0.370539	-1.307	0.55158
0.370539	-1.307	0.55158
1.1069	-0.939688	0.31305
1.1069	-0.939688	0.31305
1.1069	-0.939688	0.31305
0.994271	0.0560709	0.0627636
0.994271	0.0560709	0.0627636
0.994271	0.0560709	0.0627636
1.51148	0.244935	0.86559
1.09531	-0.699074	1.34045
1.09531	-0.699074	1.34045
0.631068	-0.718187	2.19664
0.631068	-0.718187	2.19664
1.05563	-0.596486	1.6043
2.19007	0.579356	1.36393
2.19007	0.579356	1.36393
2.19007	0.579356	1.36393
2.19007	0.579356	1.36393
1.00406	-0.161501	1.23687
-0.0250282	-0.240536	1.41582
0.865901	0.187428	1.64982
1.64838	0.403045	1.47328
1.33566	1.60539	0.695178
0.680674	0.825189	0.287941
-0.565784	0.193731	1.50949
-0.828175	-1.03068	1.61269
-1.56914	-0.445291	0.579375
-1.33438	-0.513542	0.256294
-0.786135	0.179473	0.29961
-0.0028638	-0.549844	1.25917
0.0261962	-1.42577	0.231829
0.0261962	-1.42577	0.231829
-1.21774	-1.64996	0.56882
-1.70446	-2.20803	0.437864
-0.781942	-2.32192	0.739461
-0.781942	-2.32192	0.739461
-0.175542	-2.087	1.04607
-1.23376	-1.58295	1.04036
-1.23376	-1.58295	1.04036
-0.00992288	-1.25865	0.50889
0.271027	-0.781438	1.21477
0.000880696	-1.72065	1.05285
0.438551	-1.98891	-0.0489849
0.438551	-1.98891	-0.0489849
0.438551	-1.98891	-0.0489849
0.438551	-1.98891	-0.0489849
0.635459	-1.63755	-0.00415423
0.635459	-1.63755	-0.00415423
0.861279	-2.84631	1.06802
0.861279	-2.84631	1.06802
2.05616	-1.97916	1.39776
1.31447	-0.963488	0.148989
1.31447	-0.963488	0.148989
1.31447	-0.963488	0.148989
1.31447	-0.963488	0.148989
1.96366	0.123942	-0.93197
2.09785	0.84951	-0.221523
1.24097	2.02738	-1.44915
0.0887503	2.53848	-0.748966
0.0903157	3.0245	0.19905
-0.176829	3.88597	0.174551
-0.176829	3.88597	0.174551
-0.0537009	2.88222	1.26409
0.0874011	3.56585	0.616092
-0.549898	2.34915	0.922837
-0.0267075	2.77276	-0.0414922
-0.0267075	2.77276	-0.0414922
0.440346	2.20109	-0.113168
0.440346	2.20109	-0.113168
1.22335	1.38996	1.02076
1.70072	2.36282	0.184472
1.48048	1.91051	1.31708
0.881243	2.16801	0.465151
0.881243	2.16801	0.465151
0.881243	2.16801	0.465151
0.959497	2.78434	-0.725891
0.580107	2.8328	0.274968
0.580107	2.8328	0.274968
1.51692	2.59329	0.873621
1.51692	2.59329	0.873621
1.51692	2.59329	0.873621
2.45191	2.7182	1.02124
1.51201	2.96759	1.63101
0.742503	3.00173	0.678211
0.742503	3.00173	0.678211
0.25564	2.58534	1.38022
0.583787	1.61592	1.36143
-0.376385	1.97463	1.22697
-0.365385	1.73706	0.742706
-0.365385	1.73706	0.742706
-0.365385	1.73706	0.742706
-0.365385	1.73706	0.742706
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.47192	1.12532	0.294108
-1.58308	0.870993	-0.458264
-1.58308	0.870993	-0.458264
-1.00463	0.112687	-1.33931
-1.00463	0.112687	-1.33931
-0.226586	-0.549706	-2.56875
-1.02767	-0.548365	-2.76154
